# Time          5.0000E-02
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5068475E+00   -5.5001407E+00   -4.4760362E+00   -5.0481570E+00   -4.4517847E+00   -4.8226439E+00   -7.5671199E+00   -1.5999998E+01   -7.1434319E+00   -7.4269576E+00   -8.5224491E+00   -4.6545390E+00   -3.2168872E+00   -3.4835140E+00   -4.0819468E+00   -8.2922645E+00   -1.0516002E+01   -7.5961036E+00   -4.1951662E+00   -1.6573370E+01   -9.1489050E+00   -8.9195084E+00   -9.3575723E+00   -1.0795185E+01   -1.4008218E+01   -1.5835912E+01   -9.3937140E+00   -1.2024617E+01   -1.4371945E+01   -9.1323307E+00   -9.1896099E+00   -1.2966708E+01   -8.3763645E+00
    1.5000000E-01    5.5138898E+00   -5.5071635E+00   -4.4717889E+00   -5.0402763E+00   -4.4513348E+00   -4.8184201E+00   -7.6070596E+00   -1.5999998E+01   -6.8374765E+00   -7.4229148E+00   -8.5191263E+00   -4.6356976E+00   -3.2175641E+00   -3.4835140E+00   -4.0819467E+00   -8.3182748E+00   -1.0527928E+01   -7.6290953E+00   -4.1887804E+00   -1.6540363E+01   -9.1678935E+00   -8.9265711E+00   -9.3316683E+00   -1.0787345E+01   -1.3993316E+01   -1.5843632E+01   -9.3895076E+00   -1.1994506E+01   -1.4360676E+01   -9.1252680E+00   -9.1761212E+00   -1.2949053E+01   -8.3657722E+00
    2.5000000E-01    5.5208738E+00   -5.5141281E+00   -4.4675741E+00   -5.0325256E+00   -4.4508844E+00   -4.8142265E+00   -7.6460469E+00   -1.5999998E+01   -6.6593910E+00   -7.4188451E+00   -8.5156979E+00   -4.6175989E+00   -3.2182453E+00   -3.4835140E+00   -4.0819467E+00   -8.3434492E+00   -1.0539134E+01   -7.6611929E+00   -4.1824571E+00   -1.6508214E+01   -9.1861044E+00   -8.9335757E+00   -9.3065650E+00   -1.0779636E+01   -1.3978602E+01   -1.5850664E+01   -9.3853338E+00   -1.1965229E+01   -1.4349497E+01   -9.1182635E+00   -9.1627530E+00   -1.2931552E+01   -8.3552750E+00
    3.5000000E-01    5.5277997E+00   -5.5210344E+00   -4.4633913E+00   -5.0249006E+00   -4.4504335E+00   -4.8100627E+00   -7.6841712E+00   -1.5999998E+01   -6.5331853E+00   -7.4147538E+00   -8.5121780E+00   -4.6001860E+00   -3.2189307E+00   -3.4835140E+00   -4.0819466E+00   -8.3678773E+00   -1.0549710E+01   -7.6924859E+00   -4.1761962E+00   -1.6476868E+01   -9.2036271E+00   -8.9405223E+00   -9.2822057E+00   -1.0772052E+01   -1.3964071E+01   -1.5857099E+01   -9.3811920E+00   -1.1936728E+01   -1.4338409E+01   -9.1113172E+00   -9.1495052E+00   -1.2914202E+01   -8.3448721E+00
    4.5000000E-01    5.5346677E+00   -5.5278829E+00   -4.4592399E+00   -5.0173970E+00   -4.4499822E+00   -4.8059282E+00   -7.7214843E+00   -1.5999998E+01   -6.4352982E+00   -7.4106449E+00   -8.5085786E+00   -4.5834083E+00   -3.2196203E+00   -3.4835140E+00   -4.0819465E+00   -8.3916101E+00   -1.0559707E+01   -7.7230256E+00   -4.1699971E+00   -1.6446272E+01   -9.2205124E+00   -8.9474109E+00   -9.2585394E+00   -1.0764590E+01   -1.3949721E+01   -1.5862985E+01   -9.3770817E+00   -1.1908951E+01   -1.4327410E+01   -9.1044286E+00   -9.1363771E+00   -1.2897004E+01   -8.3345626E+00
    5.5000000E-01    5.5414783E+00   -5.5346740E+00   -4.4551193E+00   -5.0100110E+00   -4.4495304E+00   -4.8018224E+00   -7.7580328E+00   -1.5999998E+01   -6.3552846E+00   -7.4065220E+00   -8.5049100E+00   -4.5672206E+00   -3.2203139E+00   -3.4835140E+00   -4.0819464E+00   -8.4146933E+00   -1.0569169E+01   -7.7528583E+00   -4.1638596E+00   -1.6416381E+01   -9.2368056E+00   -8.9542422E+00   -9.2355206E+00   -1.0757245E+01   -1.3935545E+01   -1.5868367E+01   -9.3730022E+00   -1.1881853E+01   -1.4316500E+01   -9.0975975E+00   -9.1233678E+00   -1.2879956E+01   -8.3243455E+00
    6.5000000E-01    5.5482319E+00   -5.5414081E+00   -4.4510290E+00   -5.0027387E+00   -4.4490782E+00   -4.7977450E+00   -7.7938591E+00   -1.5999998E+01   -6.2875881E+00   -7.4023882E+00   -8.5011815E+00   -4.5515822E+00   -3.2210114E+00   -3.4835140E+00   -4.0819464E+00   -8.4371683E+00   -1.0578137E+01   -7.7820258E+00   -4.1577828E+00   -1.6387153E+01   -9.2525476E+00   -8.9610166E+00   -9.2131079E+00   -1.0750014E+01   -1.3921540E+01   -1.5873286E+01   -9.3689532E+00   -1.1855391E+01   -1.4305676E+01   -9.0908233E+00   -9.1104762E+00   -1.2863056E+01   -8.3142196E+00
    7.5000000E-01    5.5549293E+00   -5.5480859E+00   -4.4469686E+00   -4.9955765E+00   -4.4486255E+00   -4.7936956E+00   -7.8290019E+00   -1.5999998E+01   -6.2288981E+00   -7.3982460E+00   -8.4974011E+00   -4.5364565E+00   -3.2217129E+00   -3.4835140E+00   -4.0819463E+00   -8.4590725E+00   -1.0586646E+01   -7.8105661E+00   -4.1517663E+00   -1.6358550E+01   -9.2677750E+00   -8.9677348E+00   -9.1912642E+00   -1.0742893E+01   -1.3907701E+01   -1.5877776E+01   -9.3649340E+00   -1.1829528E+01   -1.4294939E+01   -9.0841053E+00   -9.0977010E+00   -1.2846302E+01   -8.3041838E+00
    8.5000000E-01    5.5615711E+00   -5.5547080E+00   -4.4429375E+00   -4.9885210E+00   -4.4481723E+00   -4.7896735E+00   -7.8634963E+00   -1.5999998E+01   -6.1770819E+00   -7.3940976E+00   -8.4935758E+00   -4.5218105E+00   -3.2224182E+00   -3.4835140E+00   -4.0819462E+00   -8.4804396E+00   -1.0594730E+01   -7.8385137E+00   -4.1458092E+00   -1.6330538E+01   -9.2825209E+00   -8.9743973E+00   -9.1699557E+00   -1.0735879E+01   -1.3894024E+01   -1.5881870E+01   -9.3609442E+00   -1.1804229E+01   -1.4284287E+01   -9.0774429E+00   -9.0850408E+00   -1.2829693E+01   -8.2942367E+00
    9.5000000E-01    5.5681580E+00   -5.5612754E+00   -4.4389354E+00   -4.9815690E+00   -4.4477187E+00   -4.7856785E+00   -7.8973747E+00   -1.5999998E+01   -6.1306848E+00   -7.3899450E+00   -8.4897118E+00   -4.5076140E+00   -3.2231273E+00   -3.4835140E+00   -4.0819462E+00   -8.5013006E+00   -1.0602417E+01   -7.8659002E+00   -4.1399107E+00   -1.6303086E+01   -9.2968156E+00   -8.9810050E+00   -9.1491517E+00   -1.0728969E+01   -1.3880506E+01   -1.5885596E+01   -9.3569834E+00   -1.1779464E+01   -1.4273719E+01   -9.0708353E+00   -9.0724941E+00   -1.2813226E+01   -8.2843773E+00
